time_s,gyro_pitch_rad_s_faulty,fault_label
0.0,0.0518540646013889,0
0.01,0.0713094042367791,0
0.02,-0.0088740402489387,0
0.03,-0.0100705941840293,0
0.04,-0.0316707705877343,0
0.05,-0.0523765592802075,0
0.06,-0.0555513588858651,0
0.07,-0.0843620365077649,0
0.08,-0.1200739195525218,0
0.09,-0.1359172160890506,0
0.1,-0.1742928188315093,0
0.11,-0.2053630993534556,0
0.12,-0.2324184263353761,0
0.13,-0.2914704657889453,0
0.14,-0.3307937124826599,0
0.15,-0.3644535906982979,0
0.16,-0.4187373076213476,0
0.17,-0.4515866589147983,0
0.18,-0.5053212521644004,0
0.19,-0.5474384617587639,0
0.2,-0.5514547533461048,0
0.21,-0.5970877166272592,0
0.22,-0.6190070482298441,0
0.23,-0.6551103691596936,0
0.24,-0.6640192926439386,0
0.25,-0.6719336149965635,0
0.26,-0.6959860793991098,0
0.27,-0.6893074396298686,0
0.28,-0.7050334375242696,0
0.29,-0.7054965632952899,0
0.3,-0.7099782787135063,0
0.31,-0.6846095466809903,0
0.32,-0.7001043793993801,0
0.33,-0.7051888922001328,0
0.34,-0.6789775054247704,0
0.35,-0.6900958987193149,0
0.36,-0.6647216272497324,0
0.37,-0.6737128510914238,0
0.38,-0.6532310534485395,0
0.39,-0.6224835980447585,0
0.4,-0.600381595726052,0
0.41,-0.5883164847796445,0
0.42,-0.5725365417171906,0
0.43,-0.5549599860615293,0
0.44,-0.5466515574236873,0
0.45,-0.5184562818899776,0
0.46,-0.4948512356217165,0
0.47,-0.4583729974051082,0
0.48,-0.4440318156718695,0
0.49,-0.4435535656849958,0
0.5,-0.4011705733979519,0
0.51,-0.3868797943658274,0
0.52,-0.3686356581654439,0
0.53,-0.3348918950733366,0
0.54,-0.3102246316776754,0
0.55,-0.2912046250615153,0
0.56,-0.2894163616770742,0
0.5700000000000001,-0.2652082032850043,0
0.58,-0.2405357049723274,0
0.59,-0.2165148567183184,0
0.6,-0.2142172508983137,0
0.61,-0.1952083303771822,0
0.62,-0.1891445494771824,0
0.63,-0.175602683394419,0
0.64,-0.1419261612498921,0
0.65,-0.1237675058497541,0
0.66,-0.1262075442506036,0
